2026-08-26T06:00:15+00:00 re-scraping 112 games sequentially (sleep=1.0s)
2026-08-26T06:00:15+00:00 [1/112] season 2021 game 401266795 ok
2026-08-26T06:00:17+00:00 [2/112] season 2021 game 401267209 ok
2026-08-26T06:00:18+00:00 [3/112] season 2021 game 401267250 ok
2026-08-26T06:00:19+00:00 [4/112] season 2021 game 401267411 ok
2026-08-26T06:00:20+00:00 [5/112] season 2021 game 401307571 ok
2026-08-26T06:00:22+00:00 [6/112] season 2021 game 401307584 ok
2026-08-26T06:00:23+00:00 [7/112] season 2021 game 401307588 ok
2026-08-26T06:00:24+00:00 [8/112] season 2021 game 401307601 ok
2026-08-26T06:00:25+00:00 [9/112] season 2021 game 401307606 ok
2026-08-26T06:00:26+00:00 [10/112] season 2021 game 401307613 ok
2026-08-26T06:00:28+00:00 [11/112] season 2021 game 401307614 ok
2026-08-26T06:00:29+00:00 [12/112] season 2021 game 401307616 ok
2026-08-26T06:00:30+00:00 [13/112] season 2021 game 401307628 ok
2026-08-26T06:00:31+00:00 [14/112] season 2021 game 401307630 ok
2026-08-26T06:00:33+00:00 [15/112] season 2021 game 401307643 ok
2026-08-26T06:00:34+00:00 [16/112] season 2021 game 401307646 ok
2026-08-26T06:00:35+00:00 [17/112] season 2021 game 401307653 ok
2026-08-26T06:00:36+00:00 [18/112] season 2021 game 401307658 ok
2026-08-26T06:00:38+00:00 [19/112] season 2021 game 401307666 ok
2026-08-26T06:00:39+00:00 [20/112] season 2021 game 401307667 ok
2026-08-26T06:00:40+00:00 [21/112] season 2021 game 401307676 ok
2026-08-26T06:00:41+00:00 [22/112] season 2021 game 401307679 ok
2026-08-26T06:00:42+00:00 [23/112] season 2021 game 401307692 ok
2026-08-26T06:00:44+00:00 [24/112] season 2021 game 401307695 ok
2026-08-26T06:00:45+00:00 [25/112] season 2021 game 401307707 ok
2026-08-26T06:00:46+00:00 [26/112] season 2021 game 401307708 ok
2026-08-26T06:00:47+00:00 [27/112] season 2021 game 401307724 ok
2026-08-26T06:00:49+00:00 [28/112] season 2021 game 401307727 ok
2026-08-26T06:00:50+00:00 [29/112] season 2021 game 401307733 ok
2026-08-26T06:00:51+00:00 [30/112] season 2021 game 401307740 ok
2026-08-26T06:00:52+00:00 [31/112] season 2021 game 401307743 ok
2026-08-26T06:00:54+00:00 [32/112] season 2021 game 401307750 ok
2026-08-26T06:00:55+00:00 [33/112] season 2021 game 401307757 ok
2026-08-26T06:00:56+00:00 [34/112] season 2021 game 401307762 ok
2026-08-26T06:00:57+00:00 [35/112] season 2021 game 401307765 ok
2026-08-26T06:00:59+00:00 [36/112] season 2021 game 401307780 ok
2026-08-26T06:01:00+00:00 [37/112] season 2021 game 401307782 ok
2026-08-26T06:01:01+00:00 [38/112] season 2021 game 401307790 ok
2026-08-26T06:01:02+00:00 [39/112] season 2021 game 401307802 ok
2026-08-26T06:01:03+00:00 [40/112] season 2021 game 401307809 ok
2026-08-26T06:01:05+00:00 [41/112] season 2021 game 401307810 ok
2026-08-26T06:01:06+00:00 [42/112] season 2021 game 401307828 ok
2026-08-26T06:01:07+00:00 [43/112] season 2021 game 401307831 ok
2026-08-26T06:01:08+00:00 [44/112] season 2021 game 401307836 ok
2026-08-26T06:01:09+00:00 [45/112] season 2021 game 401307845 ok
2026-08-26T06:01:11+00:00 [46/112] season 2021 game 401307854 ok
2026-08-26T06:01:12+00:00 [47/112] season 2021 game 401307862 ok
2026-08-26T06:01:13+00:00 [48/112] season 2021 game 401307873 ok
2026-08-26T06:01:14+00:00 [49/112] season 2021 game 401307874 ok
2026-08-26T06:01:16+00:00 [50/112] season 2021 game 401307882 ok
2026-08-26T06:01:17+00:00 [51/112] season 2021 game 401307886 ok
2026-08-26T06:01:18+00:00 [52/112] season 2021 game 401313155 ok
2026-08-26T06:01:20+00:00 [53/112] season 2021 game 401326988 ok
2026-08-26T06:01:21+00:00 [54/112] season 2021 game 401326989 ok
2026-08-26T06:01:22+00:00 [55/112] season 2021 game 401326990 ok
2026-08-26T06:01:23+00:00 [56/112] season 2021 game 401326991 ok
2026-08-26T06:01:25+00:00 [57/112] season 2021 game 401326993 ok
2026-08-26T06:01:26+00:00 [58/112] season 2021 game 401326994 ok
2026-08-26T06:01:27+00:00 [59/112] season 2021 game 401327894 ok
2026-08-26T06:01:28+00:00 [60/112] season 2021 game 401333062 ok
2026-08-26T06:01:30+00:00 [61/112] season 2021 game 401337336 ok
2026-08-26T06:01:31+00:00 [62/112] season 2022 game 401358774 ok
2026-08-26T06:01:32+00:00 [63/112] season 2022 game 401359968 ok
2026-08-26T06:01:33+00:00 [64/112] season 2022 game 401360673 ok
2026-08-26T06:01:34+00:00 [65/112] season 2022 game 401360737 ok
2026-08-26T06:01:36+00:00 [66/112] season 2022 game 401360768 ok
2026-08-26T06:01:37+00:00 [67/112] season 2022 game 401360954 ok
2026-08-26T06:01:38+00:00 [68/112] season 2022 game 401360967 ok
2026-08-26T06:01:40+00:00 [69/112] season 2022 game 401430235 ok
2026-08-26T06:01:41+00:00 [70/112] season 2022 game 401438132 ok
2026-08-26T06:01:42+00:00 [71/112] season 2023 game 401468202 ok
2026-08-26T06:01:43+00:00 [72/112] season 2023 game 401468306 ok
2026-08-26T06:01:44+00:00 [73/112] season 2023 game 401468346 ok
2026-08-26T06:01:46+00:00 [74/112] season 2023 game 401468531 ok
2026-08-26T06:01:47+00:00 [75/112] season 2023 game 401468853 ok
2026-08-26T06:01:48+00:00 [76/112] season 2023 game 401469258 ok
2026-08-26T06:01:49+00:00 [77/112] season 2023 game 401469294 ok
2026-08-26T06:01:51+00:00 [78/112] season 2023 game 401469380 ok
2026-08-26T06:01:52+00:00 [79/112] season 2023 game 401524696 ok
2026-08-26T06:01:53+00:00 [80/112] season 2023 game 401544848 ok
2026-08-26T06:01:54+00:00 [81/112] season 2024 game 401585016 ok
2026-08-26T06:01:55+00:00 [82/112] season 2024 game 401585353 ok
2026-08-26T06:01:57+00:00 [83/112] season 2024 game 401585387 ok
2026-08-26T06:01:58+00:00 [84/112] season 2024 game 401585443 ok
2026-08-26T06:01:59+00:00 [85/112] season 2024 game 401585466 ok
2026-08-26T06:02:00+00:00 [86/112] season 2024 game 401585535 ok
2026-08-26T06:02:02+00:00 [87/112] season 2024 game 401616460 ok
2026-08-26T06:02:03+00:00 [88/112] season 2024 game 401658192 ok
2026-08-26T06:02:04+00:00 [89/112] season 2025 game 401704652 ok
2026-08-26T06:02:05+00:00 [90/112] season 2025 game 401704749 ok
2026-08-26T06:02:07+00:00 [91/112] season 2025 game 401704804 ok
2026-08-26T06:02:08+00:00 [92/112] season 2025 game 401704873 ok
2026-08-26T06:02:09+00:00 [93/112] season 2025 game 401704929 ok
2026-08-26T06:02:11+00:00 [94/112] season 2025 game 401705162 ok
2026-08-26T06:02:12+00:00 [95/112] season 2025 game 401705335 ok
2026-08-26T06:02:13+00:00 [96/112] season 2025 game 401705338 ok
2026-08-26T06:02:14+00:00 [97/112] season 2025 game 401705508 ok
2026-08-26T06:02:16+00:00 [98/112] season 2025 game 401705513 ok
2026-08-26T06:02:17+00:00 [99/112] season 2025 game 401705552 ok
2026-08-26T06:02:18+00:00 [100/112] season 2025 game 401705558 ok
2026-08-26T06:02:19+00:00 [101/112] season 2025 game 401705616 ok
2026-08-26T06:02:20+00:00 [102/112] season 2025 game 401705746 ok
2026-08-26T06:02:22+00:00 [103/112] season 2026 game 401810150 ok
2026-08-26T06:02:23+00:00 [104/112] season 2026 game 401810183 ok
2026-08-26T06:02:24+00:00 [105/112] season 2026 game 401810372 ok
2026-08-26T06:02:25+00:00 [106/112] season 2026 game 401810547 ok
2026-08-26T06:02:27+00:00 [107/112] season 2026 game 401810560 ok
2026-08-26T06:02:28+00:00 [108/112] season 2026 game 401810577 ok
2026-08-26T06:02:29+00:00 [109/112] season 2026 game 401810633 ok
